Date;Time;T;U;WW;c
29.03.2014 0:00;12:00;1,4;54; ;90  или более, но не 100%
29.03.2014 0:00;9:00;-0,1;57; ;70 – 80%.
29.03.2014 0:00;6:00;-0,2;53; ;10%  или менее, но не 0
29.03.2014 0:00;3:00;0;61; ;Облаков нет.
29.03.2014 0:00;0:00;0,7;59; ;Облаков нет.
30.03.2014 0:00;21:00;3;73;Состояние неба в общем не изменилось. ;90  или более, но не 100%
30.03.2014 0:00;18:00;5,5;65; ;90  или более, но не 100%
30.03.2014 0:00;15:00;6;62; ;60%.
30.03.2014 0:00;12:00;3,1;78; ;100%.
30.03.2014 0:00;9:00;1,2;81; ;90  или более, но не 100%
30.03.2014 0:00;6:00;0,5;87; ;Облаков нет.
30.03.2014 0:00;3:00;2,5;77; ;Облаков нет.
30.03.2014 0:00;0:00;3,1;68; ;70 – 80%.
31.03.2014 0:00;21:00;0,1;42; ;70 – 80%.
31.03.2014 0:00;18:00;1;36; ;70 – 80%.
31.03.2014 0:00;15:00;1,3;47;Ливневый снег слабый в срок наблюдения или за последний час. ;70 – 80%.
31.03.2014 0:00;12:00;1,3;54; ;70 – 80%.
31.03.2014 0:00;9:00;0,2;56; ;60%.
31.03.2014 0:00;6:00;-0,8;61; ;40%.
31.03.2014 0:00;3:00;0,4;67; ;90  или более, но не 100%
31.03.2014 0:00;0:00;1,8;64; ;100%.
01.04.2014 0:00;21:00;-0,6;88;Снег непрерывный слабый в срок наблюдения. ;100%.
01.04.2014 0:00;18:00;2,4;63; ;100%.
01.04.2014 0:00;15:00;3,5;53; ;70 – 80%.
01.04.2014 0:00;12:00;2,7;49; ;90  или более, но не 100%
01.04.2014 0:00;9:00;0,2;52; ;90  или более, но не 100%
01.04.2014 0:00;6:00;-0,4;52; ;70 – 80%.
01.04.2014 0:00;3:00;-0,4;50; ;70 – 80%.
01.04.2014 0:00;0:00;0,1;46; ;90  или более, но не 100%
02.04.2014 0:00;21:00;1,6;57; ;90  или более, но не 100%
02.04.2014 0:00;18:00;1,9;51; ;90  или более, но не 100%
02.04.2014 0:00;15:00;1,7;57; ;90  или более, но не 100%
02.04.2014 0:00;12:00;1,8;61; ;70 – 80%.
02.04.2014 0:00;9:00;-0,4;66; ;10%  или менее, но не 0
02.04.2014 0:00;6:00;-3;65; ;70 – 80%.
02.04.2014 0:00;3:00;-2,2;80;Состояние неба в общем не изменилось. ;90  или более, но не 100%
02.04.2014 0:00;0:00;-0,6;80;Состояние неба в общем не изменилось. ;100%.
03.04.2014 0:00;21:00;1,1;91;Состояние неба в общем не изменилось. ;90  или более, но не 100%
03.04.2014 0:00;18:00;3,3;73; ;90  или более, но не 100%
03.04.2014 0:00;15:00;4,1;69; ;90  или более, но не 100%
03.04.2014 0:00;12:00;2,6;74; ;90  или более, но не 100%
03.04.2014 0:00;9:00;1,8;82; ;90  или более, но не 100%
03.04.2014 0:00;6:00;1,8;84; ;90  или более, но не 100%
03.04.2014 0:00;3:00;1,8;84; ;90  или более, но не 100%
03.04.2014 0:00;0:00;2;75; ;90  или более, но не 100%
04.04.2014 0:00;21:00;0,2;73;Состояние неба в общем не изменилось. ;60%.
04.04.2014 0:00;18:00;1,6;66;Ливневый снег слабый в срок наблюдения или за последний час. ;60%.
04.04.2014 0:00;15:00;3,6;40; ;70 – 80%.
04.04.2014 0:00;12:00;1,4;44;Ливневый снег слабый в срок наблюдения или за последний час. ;60%.
04.04.2014 0:00;9:00;-0,6;76; ;10%  или менее, но не 0
04.04.2014 0:00;6:00;-1,9;84; ;20–30%.
04.04.2014 0:00;3:00;-1,5;83; ;70 – 80%.
04.04.2014 0:00;0:00;-0,5;90; ;90  или более, но не 100%
05.04.2014 0:00;21:00;3,9;66; ;90  или более, но не 100%
05.04.2014 0:00;18:00;5,8;49; ;100%.
05.04.2014 0:00;15:00;6,3;55; ;90  или более, но не 100%
05.04.2014 0:00;12:00;3,3;67; ;100%.
05.04.2014 0:00;9:00;0,7;81; ;100%.
05.04.2014 0:00;6:00;-0,8;67; ;90  или более, но не 100%
05.04.2014 0:00;3:00;-1;88; ;20–30%.
05.04.2014 0:00;0:00;-1;82; ;40%.
06.04.2014 0:00;21:00;2,3;95;Состояние неба в общем не изменилось. ;100%.
06.04.2014 0:00;18:00;2,4;93;Дождь незамерзающий непрерывный слабый в срок наблюдения. ;100%.
06.04.2014 0:00;15:00;1,9;93;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;100%.
06.04.2014 0:00;12:00;2,7;84;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;100%.
06.04.2014 0:00;9:00;2,7;64; ;100%.
06.04.2014 0:00;6:00;2,7;65; ;100%.
06.04.2014 0:00;3:00;3,3;67; ;100%.
06.04.2014 0:00;0:00;4,4;62; ;100%.
07.04.2014 0:00;21:00;2,9;48; ;10%  или менее, но не 0
07.04.2014 0:00;18:00;6,2;33; ;20–30%.
07.04.2014 0:00;15:00;6,2;38; ;20–30%.
07.04.2014 0:00;12:00;4,1;45; ;50%.
07.04.2014 0:00;9:00;1,2;69; ;70 – 80%.
07.04.2014 0:00;6:00;0;82; ;70 – 80%.
07.04.2014 0:00;3:00;0,9;83;Состояние неба в общем не изменилось. ;70 – 80%.
07.04.2014 0:00;0:00;2,2;95;Состояние неба в общем не изменилось. ;100%.
08.04.2014 0:00;21:00;1,2;34; ;20–30%.
08.04.2014 0:00;18:00;3,4;29; ;40%.
08.04.2014 0:00;15:00;5;32; ;Облаков нет.
08.04.2014 0:00;12:00;5;36; ;40%.
08.04.2014 0:00;9:00;1,6;62; ;90  или более, но не 100%
08.04.2014 0:00;6:00;-1,8;83; ;40%.
08.04.2014 0:00;3:00;-1;75; ;Облаков нет.
08.04.2014 0:00;0:00;0,1;65; ;Облаков нет.
09.04.2014 0:00;21:00;0,2;48; ;Облаков нет.
09.04.2014 0:00;18:00;1,7;41; ;Облаков нет.
09.04.2014 0:00;15:00;3;45; ;40%.
09.04.2014 0:00;12:00;4,5;38; ;10%  или менее, но не 0
09.04.2014 0:00;9:00;0,6;51; ;Облаков нет.
09.04.2014 0:00;6:00;-1,4;60; ;Облаков нет.
09.04.2014 0:00;3:00;-1;45; ;Облаков нет.
09.04.2014 0:00;0:00;-0,8;47; ;Облаков нет.
10.04.2014 0:00;21:00;5;31; ;Облаков нет.
10.04.2014 0:00;18:00;6,7;24; ;Облаков нет.
10.04.2014 0:00;15:00;5,7;27; ;Облаков нет.
10.04.2014 0:00;12:00;3,8;31; ;Облаков нет.
10.04.2014 0:00;9:00;0,1;52; ;Облаков нет.
10.04.2014 0:00;6:00;-2,4;62; ;100%.
10.04.2014 0:00;3:00;-1,7;60; ;Облаков нет.
10.04.2014 0:00;0:00;-0,8;55; ;Облаков нет.
11.04.2014 0:00;21:00;8,4;37; ;90  или более, но не 100%
11.04.2014 0:00;18:00;9,8;33; ;90  или более, но не 100%
11.04.2014 0:00;15:00;9,8;27; ;40%.
11.04.2014 0:00;12:00;8,2;33; ;20–30%.
11.04.2014 0:00;9:00;3,7;40; ;60%.
11.04.2014 0:00;6:00;2,2;41; ;100%.
11.04.2014 0:00;3:00;2,7;38; ;Облаков нет.
11.04.2014 0:00;0:00;3,5;32; ;Облаков нет.
12.04.2014 0:00;21:00;6,3;82; ;Облаков нет.
12.04.2014 0:00;18:00;7,8;75; ;90  или более, но не 100%
12.04.2014 0:00;15:00;6,6;81;Морось (незамерзающая) или снежные зерна неливневые. ;90  или более, но не 100%
12.04.2014 0:00;12:00;5,4;82;Дождь (незамерзающий) неливневый. ;100%.
12.04.2014 0:00;9:00;6,2;59; ;90  или более, но не 100%
12.04.2014 0:00;6:00;6,2;52; ;100%.
12.04.2014 0:00;3:00;7,3;45; ;90  или более, но не 100%
12.04.2014 0:00;0:00;7,9;35; ;90  или более, но не 100%
13.04.2014 0:00;21:00;8,2;87;Дождь незамерзающий непрерывный слабый в срок наблюдения. ;100%.
13.04.2014 0:00;18:00;11,3;57; ;100%.
13.04.2014 0:00;15:00;11,9;55; ;90  или более, но не 100%
13.04.2014 0:00;12:00;10;55; ;90  или более, но не 100%
13.04.2014 0:00;9:00;7,3;76; ;90  или более, но не 100%
13.04.2014 0:00;6:00;5,2;86; ;40%.
13.04.2014 0:00;3:00;5,9;82; ;Облаков нет.
13.04.2014 0:00;0:00;5,8;82; ;Облаков нет.
14.04.2014 0:00;21:00;6,5;81;Состояние неба в общем не изменилось. ;90  или более, но не 100%
14.04.2014 0:00;18:00;8,4;71;Состояние неба в общем не изменилось. ;60%.
14.04.2014 0:00;15:00;8,2;67;Дождь незамерзающий непрерывный слабый в срок наблюдения. ;70 – 80%.
14.04.2014 0:00;12:00;8,6;75; ;40%.
14.04.2014 0:00;9:00;7,8;78; ;40%.
14.04.2014 0:00;6:00;6,4;87; ;70 – 80%.
14.04.2014 0:00;3:00;7;88;Состояние неба в общем не изменилось. ;100%.
14.04.2014 0:00;0:00;7,3;88;Дождь незамерзающий непрерывный умеренный в срок наблюдения. ;100%.
15.04.2014 0:00;21:00;8,1;69; ;70 – 80%.
15.04.2014 0:00;18:00;9,3;64; ;40%.
15.04.2014 0:00;15:00;8,2;69; ;70 – 80%.
15.04.2014 0:00;12:00;8,7;72; ;40%.
15.04.2014 0:00;9:00;5,6;80; ;Облаков нет.
15.04.2014 0:00;6:00;4,8;81; ;90  или более, но не 100%
15.04.2014 0:00;3:00;5,3;86;Состояние неба в общем не изменилось. ;90  или более, но не 100%
15.04.2014 0:00;0:00;5,8;88;Состояние неба в общем не изменилось. ;70 – 80%.
16.04.2014 0:00;21:00;4,4;65; ;Облаков нет.
16.04.2014 0:00;18:00;7;44; ;Облаков нет.
16.04.2014 0:00;15:00;7,4;43; ;Облаков нет.
16.04.2014 0:00;12:00;8,4;33; ;Облаков нет.
16.04.2014 0:00;9:00;4,4;62; ;Облаков нет.
16.04.2014 0:00;6:00;2,8;86; ;20–30%.
16.04.2014 0:00;3:00;5,1;81; ;90  или более, но не 100%
16.04.2014 0:00;0:00;5,8;82; ;40%.
17.04.2014 0:00;21:00;10,4;42; ;100%.
17.04.2014 0:00;18:00;12,2;37; ;100%.
17.04.2014 0:00;15:00;11,8;36; ;100%.
17.04.2014 0:00;12:00;7,4;43; ;90  или более, но не 100%
17.04.2014 0:00;9:00;4,9;46; ;40%.
17.04.2014 0:00;6:00;2,5;64; ;Облаков нет.
17.04.2014 0:00;3:00;3,2;70; ;Облаков нет.
17.04.2014 0:00;0:00;3,2;72; ;Облаков нет.
18.04.2014 0:00;21:00;11,3;36; ;20–30%.
18.04.2014 0:00;18:00;15,3;27; ;40%.
18.04.2014 0:00;15:00;15,1;30; ;10%  или менее, но не 0
18.04.2014 0:00;12:00;12,5;35; ;70 – 80%.
18.04.2014 0:00;9:00;8,1;44; ;90  или более, но не 100%
18.04.2014 0:00;6:00;6,8;48; ;20–30%.
18.04.2014 0:00;3:00;7,8;47; ;70 – 80%.
18.04.2014 0:00;0:00;8,8;48; ;70 – 80%.
19.04.2014 0:00;21:00;10,4;52; ;60%.
19.04.2014 0:00;18:00;13,7;37; ;60%.
19.04.2014 0:00;15:00;14,7;38; ;40%.
19.04.2014 0:00;12:00;11,8;48; ;10%  или менее, но не 0
19.04.2014 0:00;9:00;8,6;62; ;10%  или менее, но не 0
19.04.2014 0:00;6:00;4;77; ;Облаков нет.
19.04.2014 0:00;3:00;5,2;71; ;20–30%.
19.04.2014 0:00;0:00;7,4;60; ;Облаков нет.
20.04.2014 0:00;21:00;12,9;52; ;Облаков нет.
20.04.2014 0:00;18:00;13,2;49; ;Облаков нет.
20.04.2014 0:00;15:00;13,7;49; ;Облаков нет.
20.04.2014 0:00;12:00;12,6;53; ;Облаков нет.
20.04.2014 0:00;9:00;8;72; ;Облаков нет.
20.04.2014 0:00;6:00;4,4;87; ;40%.
20.04.2014 0:00;3:00;5,5;80; ;Облаков нет.
20.04.2014 0:00;0:00;7,1;74; ;Облаков нет.
21.04.2014 0:00;21:00;17,3;44; ;100%.
21.04.2014 0:00;18:00;19,9;37; ;70 – 80%.
21.04.2014 0:00;15:00;20,6;33; ;Облаков нет.
21.04.2014 0:00;12:00;17,1;43; ;20–30%.
21.04.2014 0:00;9:00;9,4;64; ;Облаков нет.
21.04.2014 0:00;6:00;5,3;81; ;Облаков нет.
21.04.2014 0:00;3:00;8,9;66; ;Облаков нет.
21.04.2014 0:00;0:00;10,2;63; ;Облаков нет.
22.04.2014 0:00;21:00;11,7;68; ;Облаков нет.
22.04.2014 0:00;18:00;15;51; ;Облаков нет.
22.04.2014 0:00;15:00;17,7;35; ;Облаков нет.
22.04.2014 0:00;12:00;13,8;55; ;Облаков нет.
22.04.2014 0:00;9:00;12,8;51; ;Облаков нет.
22.04.2014 0:00;6:00;8,1;74; ;60%.
22.04.2014 0:00;3:00;10,6;70; ;90  или более, но не 100%
22.04.2014 0:00;0:00;12,9;59; ;90  или более, но не 100%
23.04.2014 0:00;21:00;6,7;25; ;Облаков нет.
23.04.2014 0:00;18:00;9;25; ;Облаков нет.
23.04.2014 0:00;15:00;9,9;25; ;10%  или менее, но не 0
23.04.2014 0:00;12:00;8,7;31; ;10%  или менее, но не 0
23.04.2014 0:00;9:00;6,5;42; ;Облаков нет.
23.04.2014 0:00;6:00;5;51; ;Облаков нет.
23.04.2014 0:00;3:00;7,6;59; ;Облаков нет.
23.04.2014 0:00;0:00;11,1;42; ;Облаков нет.
24.04.2014 0:00;21:00;5,8;46; ;60%.
24.04.2014 0:00;18:00;7,9;37; ;Облаков нет.
24.04.2014 0:00;15:00;7,9;33; ;Облаков нет.
24.04.2014 0:00;12:00;6,7;33; ;Облаков нет.
24.04.2014 0:00;9:00;5,7;34; ;Облаков нет.
24.04.2014 0:00;6:00;1,8;59; ;Облаков нет.
24.04.2014 0:00;3:00;3,2;49; ;Облаков нет.
24.04.2014 0:00;0:00;4,6;37; ;Облаков нет.
25.04.2014 0:00;21:00;7,4;57; ;10%  или менее, но не 0
25.04.2014 0:00;18:00;10;51; ;40%.
25.04.2014 0:00;15:00;9,4;41; ;70 – 80%.
25.04.2014 0:00;12:00;8,4;46; ;Облаков нет.
25.04.2014 0:00;9:00;8,1;57; ;20–30%.
25.04.2014 0:00;6:00;5,1;75; ;20–30%.
25.04.2014 0:00;3:00;5,5;73; ;Облаков нет.
25.04.2014 0:00;0:00;5,7;61; ;Облаков нет.
26.04.2014 0:00;21:00;11,9;43; ;90  или более, но не 100%
26.04.2014 0:00;18:00;15,9;27; ;90  или более, но не 100%
26.04.2014 0:00;15:00;16,2;29; ;70 – 80%.
26.04.2014 0:00;12:00;11,6;33; ;100%.
26.04.2014 0:00;9:00;7,5;40; ;90  или более, но не 100%
26.04.2014 0:00;6:00;4,9;55; ;70 – 80%.
26.04.2014 0:00;3:00;5,8;54; ;Облаков нет.
26.04.2014 0:00;0:00;4,9;79; ;Облаков нет.
27.04.2014 0:00;21:00;14;37; ;90  или более, но не 100%
27.04.2014 0:00;18:00;16;33; ;60%.
27.04.2014 0:00;15:00;14,2;45; ;40%.
27.04.2014 0:00;12:00;12,3;60; ;40%.
27.04.2014 0:00;9:00;8,6;65; ;40%.
27.04.2014 0:00;6:00;5,6;73; ;90  или более, но не 100%
27.04.2014 0:00;3:00;7,1;79; ;20–30%.
27.04.2014 0:00;0:00;8,6;63; ;70 – 80%.
28.04.2014 0:00;21:00;13,2;40; ;90  или более, но не 100%
28.04.2014 0:00;18:00;15,2;33; ;90  или более, но не 100%
28.04.2014 0:00;15:00;17;33; ;40%.
28.04.2014 0:00;12:00;14,7;38; ;Облаков нет.
28.04.2014 0:00;9:00;9,7;74; ;Облаков нет.
28.04.2014 0:00;6:00;5,6;87; ;20–30%.
28.04.2014 0:00;3:00;7,2;77; ;90  или более, но не 100%
28.04.2014 0:00;0:00;8,8;74; ;60%.
29.04.2014 0:00;21:00;11;65; ;90  или более, но не 100%
29.04.2014 0:00;18:00;14,6;46; ;90  или более, но не 100%
29.04.2014 0:00;15:00;14,7;45; ;90  или более, но не 100%
29.04.2014 0:00;12:00;13,1;47; ;90  или более, но не 100%
29.04.2014 0:00;9:00;12,4;49; ;20–30%.
29.04.2014 0:00;6:00;10,9;54; ;70 – 80%.
29.04.2014 0:00;3:00;11,8;43; ;60%.
29.04.2014 0:00;0:00;10,9;57; ;90  или более, но не 100%
30.04.2014 0:00;21:00;8,1;57; ;100%.
30.04.2014 0:00;18:00;10;39; ;100%.
30.04.2014 0:00;15:00;10;41; ;70 – 80%.
30.04.2014 0:00;12:00;9,1;57; ;60%.
30.04.2014 0:00;9:00;7,8;50; ;Облаков нет.
30.04.2014 0:00;6:00;5,7;62; ;10%  или менее, но не 0
30.04.2014 0:00;3:00;7,1;79;Состояние неба в общем не изменилось. ;90  или более, но не 100%
30.04.2014 0:00;0:00;8,3;87;Дождь (незамерзающий) неливневый. ;90  или более, но не 100%
01.05.2014 0:00;21:00;3;90;Дождь незамерзающий непрерывный слабый в срок наблюдения. ;100%.
01.05.2014 0:00;18:00;4,8;89;Дождь незамерзающий непрерывный слабый в срок наблюдения. ;100%.
01.05.2014 0:00;15:00;7,3;57; ;100%.
01.05.2014 0:00;12:00;8,1;53; ;100%.
01.05.2014 0:00;9:00;6,7;64; ;90  или более, но не 100%
01.05.2014 0:00;6:00;3;83; ;70 – 80%.
01.05.2014 0:00;3:00;3,8;71; ;Облаков нет.
01.05.2014 0:00;0:00;5,5;61; ;Облаков нет.
02.05.2014 0:00;21:00;5,5;62; ;Облаков нет.
02.05.2014 0:00;18:00;7,3;52; ;60%.
02.05.2014 0:00;15:00;4,8;65;Состояние неба в общем не изменилось. ;70 – 80%.
02.05.2014 0:00;12:00;4,8;64; ;60%.
02.05.2014 0:00;9:00;3,4;62; ;Облаков нет.
02.05.2014 0:00;6:00;0,7;83; ;Облаков нет.
02.05.2014 0:00;3:00;1,5;91;Состояние неба в общем не изменилось. ;90  или более, но не 100%
02.05.2014 0:00;0:00;1,9;91;Дождь незамерзающий непрерывный слабый в срок наблюдения. ;100%.
03.05.2014 0:00;21:00;7,2;54; ;100%.
03.05.2014 0:00;18:00;8,5;41; ;70 – 80%.
03.05.2014 0:00;15:00;8,3;38; ;60%.
03.05.2014 0:00;12:00;7,2;58; ;60%.
03.05.2014 0:00;9:00;5,8;70; ;20–30%.
03.05.2014 0:00;6:00;3,9;90; ;70 – 80%.
03.05.2014 0:00;3:00;3,2;86; ;40%.
03.05.2014 0:00;0:00;4,8;79; ;20–30%.
04.05.2014 0:00;21:00;6,6;77;Состояние неба в общем не изменилось. ;100%.
04.05.2014 0:00;18:00;8,6;69; ;100%.
04.05.2014 0:00;15:00;8,2;53;Состояние неба в общем не изменилось. ;70 – 80%.
04.05.2014 0:00;12:00;9,3;50; ;100%.
04.05.2014 0:00;9:00;5,5;69; ;90  или более, но не 100%
04.05.2014 0:00;6:00;3,7;82; ;90  или более, но не 100%
04.05.2014 0:00;3:00;4,6;76;Облака в целом рассеиваются или становятся менее развитыми. ;70 – 80%.
04.05.2014 0:00;0:00;3,8;80;Дождь незамерзающий непрерывный слабый в срок наблюдения. ;100%.
05.05.2014 0:00;21:00;5,7;73;Дождь незамерзающий непрерывный слабый в срок наблюдения. ;100%.
05.05.2014 0:00;18:00;8,6;59;Состояние неба в общем не изменилось. ;90  или более, но не 100%
05.05.2014 0:00;15:00;7,4;72;Состояние неба в общем не изменилось. ;90  или более, но не 100%
05.05.2014 0:00;12:00;10;66; ;70 – 80%.
05.05.2014 0:00;9:00;7,6;68; ;90  или более, но не 100%
05.05.2014 0:00;6:00;4,4;84; ;100%.
05.05.2014 0:00;3:00;3,8;87; ;60%.
05.05.2014 0:00;0:00;6;81; ;60%.
06.05.2014 0:00;21:00;5,7;34; ;60%.
06.05.2014 0:00;18:00;7,8;27; ;60%.
06.05.2014 0:00;15:00;7,3;35; ;70 – 80%.
06.05.2014 0:00;12:00;4,7;51; ;60%.
06.05.2014 0:00;9:00;2,5;62; ;70 – 80%.
06.05.2014 0:00;6:00;1,2;72; ;90  или более, но не 100%
06.05.2014 0:00;3:00;2,5;81;Состояние неба в общем не изменилось. ;60%.
06.05.2014 0:00;0:00;4,2;84;Дождь незамерзающий непрерывный слабый в срок наблюдения. ;100%.
07.05.2014 0:00;21:00;7,8;50; ;60%.
07.05.2014 0:00;18:00;9,9;34; ;70 – 80%.
07.05.2014 0:00;15:00;9,7;30; ;70 – 80%.
07.05.2014 0:00;12:00;7,7;42; ;Облаков нет.
07.05.2014 0:00;9:00;5,5;64; ;Облаков нет.
07.05.2014 0:00;6:00;1,1;63; ;Облаков нет.
07.05.2014 0:00;3:00;1,8;55; ;Облаков нет.
07.05.2014 0:00;0:00;4;40; ;Облаков нет.
08.05.2014 0:00;21:00;6,4;97;Состояние неба в общем не изменилось. ;100%.
08.05.2014 0:00;18:00;6,4;94;Морось незамерзающая непрерывная слабая в срок наблюдения. ;100%.
08.05.2014 0:00;15:00;6,1;91;Состояние неба в общем не изменилось. ;100%.
08.05.2014 0:00;12:00;5,6;85;Дождь незамерзающий непрерывный слабый в срок наблюдения. ;100%.
08.05.2014 0:00;9:00;5,7;66;Дождь незамерзающий непрерывный слабый в срок наблюдения. ;100%.
08.05.2014 0:00;6:00;4,6;58; ;90  или более, но не 100%
08.05.2014 0:00;3:00;4;61; ;Облаков нет.
08.05.2014 0:00;0:00;5,3;56; ;Облаков нет.
09.05.2014 0:00;21:00;13,3;87;Состояние неба в общем не изменилось. ;100%.
09.05.2014 0:00;18:00;14,7;77;Состояние неба в общем не изменилось. ;70 – 80%.
09.05.2014 0:00;15:00;14,6;76;Дождь незамерзающий непрерывный слабый в срок наблюдения. ;100%.
09.05.2014 0:00;12:00;12,9;77; ;90  или более, но не 100%
09.05.2014 0:00;9:00;7,8;94;Состояние неба в общем не изменилось. ;100%.
09.05.2014 0:00;6:00;6,8;97;Дождь незамерзающий с перерывами слабый в срок наблюдения. ;100%.
09.05.2014 0:00;3:00;6,6;97;Дымка. ;20–30%.
09.05.2014 0:00;0:00;6,6;97;Дымка. ;100%.
10.05.2014 0:00;21:00;14,3;89;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;100%.
10.05.2014 0:00;18:00;16;83;Гроза слабая или умеренная без града, но с дождем и/или снегом в срок наблюдения. ;100%.
10.05.2014 0:00;15:00;18,8;64;Состояние неба в общем не изменилось. ;90  или более, но не 100%
10.05.2014 0:00;12:00;16,6;73;Состояние неба в общем не изменилось. ;70 – 80%.
10.05.2014 0:00;9:00;12,4;89;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;100%.
10.05.2014 0:00;6:00;12,4;77;Состояние неба в общем не изменилось. ;70 – 80%.
